,count,values
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.informant.assignedEntity.code.displayName,2,['New immunization record']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.id.nullFlavor,18,"['NI', 'UNK']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.effectiveTime.high.value,4,"['20120301', '20120813']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.act.participant.typeCode,4,"['COV', 'HLD']"
ClinicalDocument.componentOf.encompassingEncounter.dischargeDispositionCode.displayName,4,"['Discharged to home or self care (routine discharge)', 'Routine Discharge']"
ClinicalDocument.component.structuredBody.component.section.entry.observation.entryRelationship.observation.entryRelationship.observation.entryRelationship.observation.entryRelationship.observation.moodCode,2,['EVN']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.code.displayName,90,"['DOSE NUMBER', 'Dose Number', 'Finding', 'Information source', 'Patient Objection', 'Prescription Drug', 'Prescription drug (product)', 'STATUS', 'Status']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.assignedAuthor.assignedPerson.name.family.nullFlavor,2,['NAV']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.author.assignedAuthor.addr.state.nullFlavor,2,['UNK']
ClinicalDocument.recordTarget.patientRole.patient.raceCode.code,314,"['2028-9', '2054-5', '2076-8', '2106-3', '2131-1']"
ClinicalDocument.recordTarget.patientRole.telecom.nullFlavor,52,"['NI', 'UNK']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.entryRelationship.act.code.codeSystemName,2,['SNOMED CT']
ClinicalDocument.inFulfillmentOf.order.id.root,8,"['1.2.840.113619.2.62.994044785528.27', '1.2.840.113619.2.62.994044785528.28', '1.2.840.113619.2.62.994044785528.29', '2.16.840.1.113883.19']"
ClinicalDocument.component.structuredBody.component.section.entry.act.performer.assignedEntity.id.root,12,"['2.16.840.1.113883.19', '2.16.840.1.113883.3.3208.101.3', '2.16.840.1.113883.4.6']"
